==================================================
output power
-303032
-----------------------------------------------
317.448	0	0	872.511	1191.15	670.502	0	132.496	1003.67	1072.51	1391.15	1203.67	200	332.496	0	957.403	200	870.502	200	517.448	200	1157.4	
192.884	565.754	694.39	0	1111.64	573.854	0	1401.14	0	200	1311.64	200	894.39	1601.14	0	0	200	773.854	765.754	392.884	200	200	
372.193	29.208	681.339	0	1565.32	711.582	0	1260.8	0	200	1765.32	200	881.339	1460.8	0	0	200	911.582	229.208	572.193	0	0	
457.163	799.631	0	472.555	207.427	0	0	0	1852.37	672.555	407.427	2052.37	200	200	210.1	0	410.1	200	999.631	657.163	0	200	
1186.36	0	0	0	2300	0	0	0	1005.27	200	2500	1205.27	200	200	226.99	0	426.99	200	200	1386.36	200	200	
0	0	232.245	0	0	0	0	998.91	0	200	0	200	432.245	1198.91	582.442	0	782.442	200	200	200	200	200	
0	0	0	0	978.473	0	0	0	0	200	1178.47	200	200	200	300.073	0	500.073	200	200	200	200	200	
==================================================
==================================================
output power
-1.69903e+006
-----------------------------------------------
50.2	0	0	0	0	0	0	905.692	0	200	200	0	200	1105.69	305.149	0	505.149	200	200	250.2	200	200	
80.2112	0	0	826.923	0	0	0	0	0	1026.92	0	123.605	200	200	0	0	200	200	0	280.211	200	200	
0	19.7	0	225.547	0	0	61.3927	0	0	425.547	200	200	200	200	0	0	200	200	219.7	200	261.393	0	
0	0	0	78.0227	3.75	0	976.286	0	0	278.023	203.75	200	200	200	0	0	200	200	200	200	1176.29	0	
0	0	0	244.803	0	0	1000	259.459	0	444.803	200	200	200	459.459	0	0	200	200	0	200	1200	0	
0	0	331.821	0	0	0	235.338	1016.31	0	200	200	200	531.821	1216.31	0	0	200	200	200	200	435.338	200	
466.038	409.378	0	724.207	2300	976.095	0	0	250.567	924.207	2500	450.567	200	96.74	0	697.14	200	1051.04	209.378	666.038	0	897.14	
487.761	433.676	956.491	0	2300	365.135	163.202	781.357	0	200	2500	200	1156.49	981.357	0	473.963	200	565.135	633.676	687.761	363.202	673.963	
461.333	1079.9	880.58	0	2300	0	0	1407.41	434.074	200	2500	634.074	1080.58	1607.41	0	0	200	200	1279.9	661.333	200	200	
376.511	170.129	0	1323.22	2300	0	352.994	1285.58	919.131	1523.22	2500	1119.13	200	1485.58	0	0	200	200	370.129	576.511	552.994	200	
0	563.776	1349.65	0	2300	0	0	1357.16	1228.5	200	2500	1428.5	1549.65	1557.16	0	0	200	200	763.776	200	200	200	
413.895	37.3475	29.2487	1110.31	2300	121.6	0	1605.91	1400.28	1310.31	2500	1600.28	229.249	1805.91	0	0	200	321.6	237.348	613.895	200	200	
166.818	882.664	1170.6	0	2300	736.24	0	1507.76	1616.7	200	2500	1816.7	1370.6	1707.76	221.065	439.815	421.065	936.24	1082.66	366.818	200	639.815	
640.157	933.883	0	1022.18	2300	718.716	0	1438.55	447.336	1222.18	2500	647.336	200	1638.55	0	0	200	918.716	1133.88	440.157	200	0	
312.569	721.269	0	1104.67	2300	970.656	220.277	1286.57	0	1304.67	2500	200	200	1486.57	0	354.547	200	1170.66	921.269	512.569	420.277	554.547	
240.964	0	1603.75	0	1188.49	0	0	1476.16	0	200	1388.49	200	1803.75	1676.16	0	0	200	200	200	440.964	200	0	
439.238	401.021	0	1103.67	2300	0	0	1053.33	410.755	1303.67	2500	610.755	200	1253.33	0	433.917	200	200	601.021	639.238	200	633.917	
372.182	1005.43	1624.91	0	2300	0	0	1372.31	647.393	200	2500	847.393	1824.91	1572.31	0	0	200	200	1205.43	572.182	143.473	200	
142.421	718.832	165.245	1300.53	2300	0	53.9057	1459.41	979.025	1500.53	2500	1179.03	365.245	1659.41	0	0	200	200	918.832	342.421	253.906	200	
256.076	399.828	0	1296.6	2300	0	351.754	1197.44	510.743	1496.6	2500	544.303	200	1397.44	0	0	200	200	599.828	456.076	551.754	200	
1332.41	0	0	549.628	2292.39	0	1003.46	42.4436	434.696	749.628	2492.39	634.696	200	242.444	0	105.597	200	200	200	1532.41	937.68	305.597	
452.24	567.566	359.85	0	0	125.3	0	0	2113.72	200	200	2313.72	559.85	200	0	235.699	200	325.3	767.566	652.24	200	435.699	
222.56	0	2126.97	0	0	533.064	0	0	0	146.602	0	200	2326.97	200	355.501	0	555.501	733.064	200	422.56	200	0	
0	653.871	280.7	200	1292.23	1287.53	0	1652.75	942.724	0	1092.23	742.724	80.7	1452.75	0	0	200	1487.53	853.871	200	200	200	
==================================================
==================================================
output power
-1.32636e+006
-----------------------------------------------
0	0	0	0	0	457.638	0	0	0	50.2	200	200	200	200	0	0	200	657.638	200	200	200	0	
167.13	0	726.269	0	0	0	0	0	661.674	200	200	861.674	926.269	200	0	0	200	200	200	367.13	200	44.1	
0	0	0	0	0	0	0	0	0	200	200	200	200	200	0	0	200	200	200	200	198.412	200	
0	0	0	0	195.748	0	0	0	0	200	395.748	0	200	200	0	0	200	200	200	180.226	200	0	
208.841	0	0	774.916	0	0	0	0	678.207	974.916	200	878.207	200	200	0	0	200	101.189	200	408.841	200	200	
472.628	488.987	551.016	0	0	0	0	0	0	200	200	162.61	751.016	200	0	0	200	200	688.987	672.628	132.991	200	
497.092	361.029	92.8962	0	1097.13	942.156	594.597	0	0	200	1297.13	200	292.896	200	0	0	200	1142.16	561.029	697.092	794.597	0	
536.892	737.295	0	413.666	1691.41	1045.21	705.05	0	0	613.666	1891.41	200	200	200	0	0	200	1245.21	937.295	736.892	905.05	200	
595.35	184.284	0	1365.13	969.277	970.254	717.568	0	0	1565.13	1169.28	200	200	200	1520	481.226	1720	1170.25	384.284	795.35	908.491	681.226	
615.09	1380.29	310.558	0	1483.7	1292.9	704.769	0	0	200	1683.7	200	510.558	200	232.708	0	432.708	1492.9	1580.29	815.09	904.769	200	
628.979	1500.12	55.8011	0	1117.52	1534.92	704.169	0	0	200	1317.52	200	255.801	200	0	0	200	1734.92	1700.12	828.979	904.169	200	
652.707	1202.71	0	0	2300	732.494	708.285	1033.87	0	200	2500	0	200	1233.87	658.98	1529.56	858.98	932.494	1402.71	852.707	908.285	1729.56	
637.306	899.985	0	405.532	2300	1059.04	707.59	0	5.65507	605.532	2500	205.655	200	200	874.57	884.332	1074.57	1259.04	1099.98	837.306	907.59	1084.33	
599.799	940.849	0	325.773	2300	904.113	706.59	0	0	525.773	2500	200	200	200	1067.32	0	1267.32	1104.11	1140.85	799.799	906.59	200	
571.497	862.179	0	442.634	2300	923.56	705.981	0	0	642.634	2500	200	200	200	629.009	0	829.009	1123.56	1062.18	771.497	905.981	200	
562.552	279.452	1445.2	0	511.314	711.45	708.124	0	0	200	711.314	200	1645.2	200	934.547	731.479	1134.55	911.45	479.452	762.552	908.124	931.479	
571.961	1197.88	0	0	1304.13	879.772	705.303	541.016	0	200	1504.13	200	200	741.016	0	298.178	200	1079.77	1397.88	771.961	905.303	498.178	
625.009	1081.91	0	0	1585.28	1277.49	706.22	0	62.6781	200	1785.28	262.678	200	200	0	1019.29	200	1477.49	1281.91	825.009	906.22	1219.29	
628.979	2192.01	0	144.958	2300	843.038	704.169	37.188	1212.14	344.958	2500	1412.14	200	237.188	0	0	200	1043.04	2392.01	828.979	904.169	200	
591.982	641.16	0	95.59	1691.68	1419.58	705.795	0	0	295.59	1891.68	200	200	200	633.885	0	833.885	1619.58	841.16	791.982	905.795	200	
516.285	717.112	0	0	1566.34	162.709	655.523	0	0	200	1766.34	200	200	200	800	0	1000	362.709	917.112	716.285	855.523	200	
51.8168	0	0	224.864	0	1016.13	776.462	0	0	424.864	0	0	0	200	0	0	200	1216.13	200	251.817	976.462	200	
0	0	670.608	0	0	0	481.278	155.498	0	200	200	200	870.608	355.498	800	0	1000	200	200	200	681.278	200	
200	760.936	0	0	1379.62	211.448	1000	0	0	200	1579.62	0	200	200	1050	1346.02	850	11.448	560.936	0	800	1146.02	
==================================================
==================================================
output power
272968
-----------------------------------------------
0	0	566.227	0	0	0	15.1198	0	0	100	0	100	666.227	100	0	0	100	100	0	100	115.12	0	
0	35.8581	0	0	0	0	261.006	345.474	0	100	0	100	100	445.474	0	0	100	100	135.858	100	361.006	100	
0	0	0	0	0	0	0	536.186	0	100	0	100	100	636.186	0	0	100	100	100	0	100	100	
0	0	0	0	2214.47	0	1200	0	0	100	2314.47	100	100	100	0	0	100	0	100	0	1300	100	
0	0	0	0	689.443	948.219	0	0	0	100	789.443	100	100	100	0	0	100	1048.22	100	100	100	0	
269.523	526.124	0	575.655	388.998	0	0	0	0	675.655	488.998	100	100	100	0	0	100	100	626.124	369.523	100	100	
614.072	1376.25	63.6149	0	288.477	0	392.385	152.659	463.091	100	388.477	563.091	163.615	252.659	0	0	100	100	1476.25	714.072	492.385	0	
577.045	1432.74	0	0	2400	107.122	433.861	0	382.876	100	2500	482.876	0	100	0	0	100	207.122	1532.74	677.045	444.354	100	
558.343	1361.49	0	0	2227.75	0	711.773	0	0	100	2327.75	100	100	100	623.29	0	723.29	100	1461.49	658.343	811.773	100	
1635.42	736.874	0	0	2400	646.767	834.767	0	0	100	2500	100	100	100	248.405	1285.63	348.405	746.767	836.874	1735.42	934.767	1385.63	
