
thermalState[i][t]
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	
1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	
1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	
0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	
0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	

thermalPower
0	361.254	361.254	361.254	818.239	600	0	0	0	0	0	0	0	0	0	0	
0	361.254	361.254	361.254	755.412	601.828	0	0	0	0	0	0	0	0	0	0	
0	361.254	361.254	361.254	600	513.239	0	0	0	0	0	0	0	0	0	0	
0	361.254	361.254	361.254	391.239	600	0	0	0	0	0	0	0	0	0	0	
0	361.254	361.254	361.254	600	818.239	0	0	0	0	0	0	0	0	0	0	
0	361.254	361.254	361.254	983.772	1200	0	0	0	0	0	0	150.467	0	0	0	
300.754	361.254	600	596.589	1200	1200	0	150.2	100.204	0	0	0	300	0	0	0	
418.522	600	600	600	1200	1200	240.478	250	300	0	0	0	450	0	0	0	
300.754	600	600	600	1500	1336.71	400	450	400	0	0	120.301	528.933	0	0	120.301	
500	600	840	840	1500	1200	400	450	500	0	0	139.699	600	0	0	120.301	
500	840	840	782.178	1251.37	1500	400	450.183	500	0	0	240	600	0	0	152.268	
500	840	840	840	1500	1200	400	550	550	0	0	240	600	0	0	240	
500	736.628	840	840	1258.96	1500	400	450	500	0	0	240	600	0	0	129.409	
499.45	600	600	600	1310.76	1500	400	450	400.186	0	0	120.301	600	0	0	120.301	
404.561	600	600	600	1500	1200	245.836	350	400	0	0	120.301	450	0	0	120.301	
300.754	600	600	600	1200	1442.97	240.478	250.194	300	0	0	120.301	450	0	0	120.301	
300.754	600	600	600	1274.57	1500	336.072	350	400	0	0	120.301	450	0	0	120.301	
500	840	840	600	1500	1200	400	450	500	0	0	240	600	0	0	142	
500	840	840	840	1500	1200	400	450	500	0	0	208.847	600	0	0	177.153	
363.477	600	600	600	1500	1324.92	400	450	400	0	0	120.301	600	0	0	120.301	
300.754	600	600	600	1200	1200	0	187.246	200	0	0	0	300	0	0	0	
0	361.254	361.254	361.254	1200	1200	0	150.2	100.204	0	0	0	293.835	0	0	0	
0	361.254	361.254	361.254	900	900	0	0	0	0	0	0	290.239	0	0	0	
0	361.254	361.254	361.254	823.239	900	0	0	0	0	0	0	0	0	0	0	

thermalR
0	1198.75	1198.75	1198.75	981.761	1200	0	0	0	0	0	0	0	0	0	0	
0	1198.75	1198.75	1198.75	1044.59	1198.17	0	0	0	0	0	0	0	0	0	0	
0	1198.75	1198.75	1198.75	1200	1286.76	0	0	0	0	0	0	0	0	0	0	
0	1198.75	1198.75	1198.75	1408.76	1200	0	0	0	0	0	0	0	0	0	0	
0	1198.75	1198.75	1198.75	1200	981.761	0	0	0	0	0	0	0	0	0	0	
0	1198.75	1198.75	1198.75	816.228	600	0	0	0	0	0	0	749.533	0	0	0	
999.246	1198.75	960	963.411	600	600	0	499.8	499.796	0	0	0	600	0	0	0	
881.478	960	960	960	600	600	799.522	400	300	0	0	0	450	0	0	0	
999.246	960	960	960	300	463.289	640	200	200	0	0	599.699	371.067	0	0	599.699	
800	960	720	720	300	600	640	200	100	0	0	580.301	300	0	0	599.699	
800	720	720	777.822	548.629	300	640	199.817	100	0	0	480	300	0	0	567.732	
800	720	720	720	300	600	640	100	50	0	0	480	300	0	0	480	
800	823.372	720	720	541.037	300	640	200	100	0	0	480	300	0	0	590.591	
800.55	960	960	960	489.238	300	640	200	199.814	0	0	599.699	300	0	0	599.699	
895.439	960	960	960	300	600	794.164	300	200	0	0	599.699	450	0	0	599.699	
999.246	960	960	960	600	357.029	799.522	399.806	300	0	0	599.699	450	0	0	599.699	
999.246	960	960	960	525.428	300	703.928	300	200	0	0	599.699	450	0	0	599.699	
800	720	720	960	300	600	640	200	100	0	0	480	300	0	0	578	
800	720	720	720	300	600	640	200	100	0	0	511.153	300	0	0	542.847	
936.523	960	960	960	300	475.079	640	200	200	0	0	599.699	300	0	0	599.699	
999.246	960	960	960	600	600	0	462.754	400	0	0	0	600	0	0	0	
0	1198.75	1198.75	1198.75	600	600	0	499.8	499.796	0	0	0	606.165	0	0	0	
0	1198.75	1198.75	1198.75	900	900	0	0	0	0	0	0	609.761	0	0	0	
